col_name,yn,date_time,number,integer,bunho,email,url,part_num,part_text,part_discriminator,part_mask,part_minus,len_purity,value_nunique,value_distr,datatype,BUNHO,NALJJA,MYEONG,JUSO,YEOBU,CODE,ID,SURYANG,GEUMAEK,NAEYOUNG,YUL,ETC,domain
EDC_SE_CD,0.333,0.0,0.583,0.583,0.583,0.0,0.0,0.583,0.0,0.0,0.0,0.0,1.0,9,2.966898654212744,object,0,0,0,0,0,1,0,0,0,0,0,0,코드
INP_DT,0.312,0.0,0.666,0.666,0.666,0.0,0.0,0.666,0.0,0.0,0.0,0.0,1.0,12,3.2092505894493843,object,0,1,0,0,0,0,0,0,0,0,0,0,날짜
DSPS_RSLT_ID,0.234,0.0,0.554,0.554,0.554,0.0,0.0,0.554,0.0,0.0,0.0,0.0,1.0,13,3.3276085436480614,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
MANF_IP,0.23,0.0,0.595,0.595,0.595,0.0,0.0,0.595,0.0,0.159,0.0,0.0,1.0,17,3.553828864308263,object,0,0,0,0,0,0,0,0,0,0,0,1,번호
INSERT_DATE,0.215,0.0,0.597,0.597,0.597,0.0,0.0,0.597,0.0,0.18,0.0,0.0,1.0,16,3.613719901187282,object,0,0,0,0,0,0,0,0,0,0,0,1,날짜
LQFT_ADDR3,0.0,0.0,0.0,0.0,0.434,0.0,0.0,0.0,0.434,0.0,0.0,0.0,1.0,12,3.2828638286539404,object,0,0,0,0,0,0,0,0,0,0,0,1,
MAIN_MTRAL_USE_WT,0.35,0.0,0.51,0.51,0.51,0.0,0.0,0.51,0.0,0.0,0.0,0.0,1.0,10,3.024878680586742,object,0,0,0,0,0,0,0,0,0,0,0,1,수량
TRAN_CHRG_NAME,0.172,0.0,0.375,0.375,0.726,0.0,0.0,0.375,0.351,0.038,0.0,0.0,1.0,26,4.279317977897465,object,0,0,0,0,0,0,0,0,0,0,0,1,
TS_RGSTER_ID,0.192,0.0,0.192,0.192,0.192,0.0,0.0,0.192,0.0,0.0,0.0,0.0,1.0,4,1.9089415931415161,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
ANALS_REQUST_STDR_DE,0.381,0.0,0.654,0.654,0.654,0.0,0.0,0.654,0.0,0.0,0.0,0.0,1.0,11,2.863936705330558,object,0,0,0,0,0,0,0,0,0,0,0,1,날짜
LQFT_MANF_NO,0.332,0.0,0.704,0.704,0.704,0.0,0.0,0.704,0.0,0.0,0.0,0.0,1.0,15,3.531083093094865,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
UPDT_ID,0.234,0.0,0.348,0.348,0.633,0.0,0.0,0.348,0.285,0.0,0.0,0.0,1.0,24,4.114363791277968,object,0,0,0,0,0,0,1,0,0,0,0,0,
IDF_RGSNO,0.435,0.0,0.62,0.62,0.748,0.0,0.0,0.62,0.128,0.0,0.0,0.0,1.0,9,2.884968751946765,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
VEHC_CAPA_TON,0.053,0.0,0.264,0.264,0.264,0.0,0.0,0.264,0.0,0.037,0.0,0.0,1.0,10,2.8042399449374935,object,0,0,0,0,0,0,0,0,0,0,0,1,수량
CRTFC_MTH_CD,0.15,0.0,0.177,0.177,0.334,0.0,0.0,0.177,0.157,0.0,0.0,0.0,1.0,12,3.015599898583344,object,0,0,0,0,0,1,0,0,0,0,0,0,
TRNS_USCM_NO,0.402,0.0,0.719,0.719,0.719,0.0,0.0,0.719,0.0,0.0,0.0,0.0,1.0,15,3.221366862660446,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
UPT_USR_ID,0.068,0.0,0.115,0.115,0.598,0.0,0.0,0.115,0.483,0.0,0.0,0.0,1.0,21,3.972383387360674,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
EMIS_CHRG_NAME,0.0,0.0,0.0,0.0,0.547,0.0,0.0,0.0,0.547,0.0,0.0,0.0,1.0,25,4.184451617661178,object,0,0,0,0,0,0,0,0,0,0,0,1,
CMPTNC_ID,0.306,0.0,0.425,0.425,0.425,0.0,0.0,0.425,0.0,0.0,0.0,0.0,1.0,11,3.00240292233204,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
SELF_CRTFC_YN,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.183,0.0,0.0,0.0,1.0,7,2.518546702246022,object,0,0,0,0,1,0,0,0,0,0,0,0,여부
CONFMER_ID,0.386,0.0,0.613,0.613,0.675,0.0,0.0,0.613,0.062,0.0,0.0,0.0,1.0,18,3.4382345055829564,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
INP_USR_ID,0.0,0.0,0.088,0.088,0.544,0.0,0.0,0.088,0.456,0.0,0.0,0.0,1.0,20,3.8161832712263997,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
UPDUSR_ID,0.207,0.0,0.207,0.207,0.207,0.0,0.0,0.207,0.0,0.0,0.0,0.0,1.0,4,1.9244458212933255,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
WSTE_FLAG,0.131,0.0,0.217,0.217,0.359,0.0,0.0,0.217,0.142,0.0,0.0,0.0,1.0,13,3.1471982335373783,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
TRNS_RECV_USER_NM,0.0,0.0,0.0,0.0,0.434,0.0,0.0,0.0,0.434,0.0,0.0,0.0,1.0,21,3.785499526344108,object,0,0,1,0,0,0,0,0,0,0,0,0,
DETAIL_RSLT_CALC_RT,0.154,0.0,0.308,0.308,0.308,0.0,0.0,0.308,0.0,0.0,0.0,0.0,1.0,10,2.893469041069474,object,0,0,0,0,0,0,0,0,0,0,1,0,율
USNA_RSDN1,0.363,0.0,0.442,0.442,0.547,0.0,0.0,0.442,0.105,0.003,0.0,0.0,1.0,15,3.18494308204875,object,0,0,0,0,0,0,0,0,0,0,0,1,번호
VHCLE_OPRAT_ANGLE,0.154,0.0,0.334,0.334,0.334,0.0,0.0,0.334,0.0,0.029,0.0,0.0,1.0,13,3.169054714105744,object,0,0,0,0,0,0,0,0,0,0,0,1,수량
MDL_THTI_TRUST_WT,0.198,0.0,0.198,0.198,0.198,0.0,0.0,0.198,0.0,0.0,0.0,0.0,1.0,4,1.910326944483308,object,0,0,0,0,0,0,0,0,0,0,0,1,수량
IDF_RGSNO,0.463,0.0,0.634,0.634,0.736,0.0,0.0,0.634,0.102,0.0,0.0,0.0,1.0,16,3.208502120886083,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
DETAIL_RSLT_RDEXRT,0.171,0.0,0.211,0.211,0.364,0.0,0.0,0.211,0.153,0.0,0.0,0.0,1.0,11,3.067373934728734,object,0,0,0,0,0,0,0,0,0,0,1,0,율
SIGUNGU,0.0,0.0,0.0,0.0,0.331,0.0,0.0,0.0,0.331,0.0,0.0,0.0,1.0,11,2.9347409021809105,object,0,0,0,0,0,0,0,0,0,0,0,1,
ARS_CCAGR_YN,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.203,0.0,0.0,0.0,1.0,4,1.939667608908957,object,0,0,0,0,1,0,0,0,0,0,0,0,여부
REMK,0.13,0.0,0.213,0.213,0.535,0.0,0.0,0.213,0.322,0.0,0.0,0.0,1.0,25,4.031683262021396,object,0,0,0,0,0,0,0,0,0,0,0,1,
INCNR_RTRV_EFCNY_AVRG,0.062,0.0,0.297,0.297,0.297,0.0,0.0,0.297,0.0,0.0,0.0,0.0,1.0,11,2.8967951421950224,object,0,0,0,0,0,0,0,0,0,0,0,1,율
PERM_MGT_NO,0.162,0.0,0.26,0.26,0.421,0.0,0.0,0.26,0.161,0.0,0.0,0.0,1.0,12,2.9955055629134617,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
UPDT_DT,0.189,0.0,0.609,0.609,0.609,0.0,0.0,0.609,0.0,0.187,0.0,0.0,1.0,17,3.708996695974727,object,0,1,0,0,0,0,0,0,0,0,0,0,날짜
FRST_CONFM_DT,0.263,0.0,0.562,0.562,0.608,0.0,0.0,0.562,0.046,0.15,0.0,0.0,1.0,18,3.5915947681440112,object,0,1,0,0,0,0,0,0,0,0,0,0,날짜
BASE_INFO_YN,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.204,0.0,0.0,0.0,1.0,7,2.568939416664834,object,0,0,0,0,1,0,0,0,0,0,0,0,여부
APPR_REQ_ID,0.164,0.0,0.304,0.304,0.666,0.0,0.0,0.304,0.362,0.0,0.0,0.0,1.0,26,4.269489354768828,object,0,0,0,0,0,0,1,0,0,0,0,0,
PRG_VER,0.36,0.0,0.435,0.435,0.501,0.0,0.0,0.435,0.066,0.144,0.0,0.0,1.0,15,3.2732490548682303,object,0,0,0,0,0,0,0,0,0,0,0,1,
